Time,CenterTemp,SurfaceTemp,dT
746.7248908296896,32.813237781020156,29.65645926395685,3.156778517063305
747.161572052397,32.80193992072135,29.649726072425494,3.152213848295858
747.5982532751044,32.790658397010304,29.643002617018993,3.147655779991311
748.0349344978118,32.77939318626451,29.63628888365901,3.1431043026054972
748.4716157205193,32.768144264895575,29.629584858287576,3.1385594066079996
748.9082969432267,32.756911609349245,29.622890526867018,3.134021082482228
749.3449781659341,32.745695196105316,29.616205875379993,3.129489320725323
749.7816593886415,32.7344950016776,29.60953088982943,3.124964111848172
750.2183406113489,32.72331100261385,29.602865556238463,3.120445446375385
750.6550218340564,32.71214317549574,29.596209860650465,3.1159333148452752
751.0917030567638,32.700991496938805,29.589563789128988,3.111427707809817
751.5283842794712,32.68985594359242,29.58292732775772,3.1069286158347005
751.9650655021786,32.6787364921397,29.576300462640493,3.1024360294992057
752.401746724886,32.667633119297456,29.56968317990122,3.097949939396237
752.8384279475935,32.65654580181622,29.563075465683873,3.0934703361323486
753.2751091703009,32.64547451648009,29.556477306152477,3.0889972103276158
753.7117903930083,32.63441924010675,29.549888687491045,3.084530552615707
754.1484716157157,32.623379949547434,29.543309595903583,3.080070353643851
754.5851528384231,32.612356621686814,29.536740017614036,3.0756166040727777
755.0218340611306,32.601349233443,29.53017993886628,3.0711692945767233
755.458515283838,32.59035776176747,29.52362934592407,3.0667284158434
755.8951965065454,32.57938218364504,29.51708822507103,3.0622939585740063
756.3318777292528,32.568422476093794,29.510556562610617,3.0578659134831767
756.7685589519602,32.55747861616507,29.504034344866092,3.0534442712989787
757.2052401746677,32.546550580943375,29.49752155818049,3.049029022762884
757.6419213973751,32.53563834754633,29.491018188916602,3.04462015862973
758.0786026200825,32.5247418931247,29.484524223456923,3.0402176696677756
758.5152838427899,32.51386119486223,29.47803964820366,3.035821546658571
758.9519650654973,32.502996229975686,29.471564449578672,3.031431780397014
759.3886462882048,32.492146975714775,29.465098614023443,3.0270483616913317
759.8253275109122,32.481313409362095,29.458642127999074,3.0226712813630208
760.2620087336196,32.47049550823311,29.452194977986235,3.018300530246872
760.698689956327,32.45969324967606,29.445757150485154,3.0139360991909037
761.1353711790345,32.44890661107195,29.439328632015574,3.009577979056374
761.5720524017419,32.43813556983451,29.432909409116736,3.005226160717772
762.0087336244493,32.42738010341011,29.426499468347334,3.0008806350627744
762.4454148471567,32.41664018927773,29.420098796285508,2.9965413929922207
762.8820960698641,32.40591580494892,29.413707379528795,2.9922084254201238
763.3187772925716,32.39520692796775,29.40732520469413,2.9878817232736203
763.755458515279,32.384513535910756,29.40095225841778,2.9835612774929743
764.1921397379864,32.37383560638691,29.394588527355353,2.979247079031559
764.6288209606938,32.36317311703756,29.388233998181743,2.9749391188558185
765.0655021834012,32.352526045536365,29.381888657591116,2.9706373879452492
765.5021834061087,32.34189436958928,29.375552492296862,2.9663418772924217
765.9388646288161,32.33127806693451,29.369225489031606,2.9620525779029023
766.3755458515235,32.32067711534242,29.36290763454715,2.957769480795271
766.8122270742309,32.31009149261554,29.35659891561445,2.953492577001093
767.2489082969383,32.2995211765885,29.35029931902359,2.9492218575649076
767.6855895196458,32.28896614512798,29.344008831583768,2.9449573135442115
768.1222707423532,32.27842637613266,29.33772744012323,2.940698936009426
768.5589519650606,32.26790184753316,29.331455131489292,2.936446716043868
768.995633187768,32.25739253729204,29.325191892548283,2.9322006447437587
769.4323144104754,32.246898423403714,29.318937710185523,2.927960713218191
769.8689956331829,32.2364194838944,29.312692571305284,2.9237269125891174
770.3056768558903,32.22595569682214,29.30645646283079,2.919499233991349
770.7423580785977,32.21550704027665,29.300229371704166,2.9152776685724824
771.1790393013051,32.20507349237935,29.294011284886416,2.9110622074929324
771.6157205240125,32.1946550312833,29.287802189357414,2.9068528419258826
772.05240174672,32.18425163517315,29.28160207211584,2.902649563057306
772.4890829694274,32.17386328226507,29.27541092017918,2.8984523620858873
772.9257641921348,32.163489950806756,29.2692287205837,2.894261230223055
773.3624454148422,32.153131619077364,29.26305546038441,2.8900761586929526
773.7991266375496,32.14278826538743,29.25689112665503,2.8858971387323997
774.2358078602571,32.13245986807887,29.25073570648798,2.8817241615908884
774.6724890829645,32.12214640552492,29.244589186994343,2.8775572185305798
775.1091703056719,32.111847856130076,29.23845155530383,2.873396300826247
775.5458515283793,32.101564198330074,29.23232279856478,2.8692413997652935
775.9825327510868,32.091295410591826,29.226202903944095,2.8650925066477306
776.4192139737942,32.08104147141337,29.220091858627253,2.8609496127861185
776.8558951965016,32.07080235932386,29.213989649818245,2.8568127095056113
777.292576419209,32.06057805288347,29.20789626473958,2.85268178814389
777.7292576419164,32.05036853068339,29.201811690632226,2.8485568400511667
778.1659388646239,32.04017377134578,29.195735914755613,2.844437856590165
778.6026200873313,32.02999375352368,29.189668924387583,2.840324829136094
779.0393013100387,32.01982845590101,29.183610706824393,2.8362177490766207
779.4759825327461,32.00967785719253,29.177561249380656,2.832116607811873
779.9126637554535,31.99954193614376,29.17152053938933,2.82802139675443
780.349344978161,31.98942067153096,29.165488564201688,2.8239321073292736
780.7860262008684,31.97931404216108,29.15946531118729,2.8198487309737885
781.2227074235758,31.969222026871705,29.153450767733975,2.8157712591377297
781.6593886462832,31.959144604531044,29.147444921247804,2.8116996832832406
782.0960698689906,31.94908175403783,29.14144775915304,2.8076339948847924
782.5327510916981,31.939033454321333,29.135459268892156,2.803574185429177
782.9694323144055,31.928999684341285,29.12947943792576,2.7995202464155255
783.4061135371129,31.918980423087838,29.123508253732613,2.795472169355225
783.8427947598203,31.908975649581528,29.117545703809565,2.791429945771963
784.2794759825277,31.898985342873225,29.11159177567155,2.7873935672016756
784.7161572052352,31.889009482044088,29.105646456851556,2.783363025192532
785.1528384279426,31.87904804620553,29.099709734900596,2.779338311304933
785.58951965065,31.86910101449917,29.0937815973877,2.7753194171114686
786.0262008733574,31.859168366096778,29.08786203189985,2.771306334196929
786.4628820960648,31.849250080200257,29.08195102604198,2.7672990541582756
786.8995633187723,31.839346136041573,29.07604856743696,2.7632975686046137
787.3362445414797,31.82945651288271,29.070154643725555,2.759301869157156
787.7729257641871,31.819581190015676,29.064269242566393,2.7553119474492824
788.2096069868945,31.809720146762377,29.058392351635952,2.751327795126425
788.646288209602,31.799873362474653,29.052523958628527,2.747349403846126
789.0829694323094,31.79004081653419,29.046664051256215,2.7433767652779757
789.5196506550168,31.780222488352482,29.04081261724887,2.739409871103611
789.9563318777242,31.77041835737081,29.034969644354106,2.735448713016705
790.3930131004316,31.760628403060164,29.02913512033723,2.7314932827229335
790.829694323139,31.750852604921235,29.023309032981253,2.7275435719399823
791.2663755458465,31.741090942484348,29.017491370086855,2.723599572397493
791.7030567685539,31.731343395309416,29.011682119472347,2.719661275837069
792.1397379912613,31.721609942985918,29.005881268973663,2.7157286740122544
792.5764192139687,31.711890565132855,29.000088806444325,2.71180175868853
793.0131004366762,31.702185241398695,28.99430471975541,2.707880521643286
793.4497816593836,31.69249395146132,28.988528996795544,2.703964954665775
793.886462882091,31.682816675028004,28.982761625470864,2.7000550495571396
794.3231441047984,31.67315339183538,28.977002593704984,2.6961507981303967
794.7598253275058,31.663504081649364,28.971251889438996,2.6922521922103684
795.1965065502133,31.653868724265134,28.96550950063142,2.6883592236337144
795.6331877729207,31.644247299507086,28.959775415258186,2.6844718842489
796.0698689956281,31.63463978722878,28.95404962131262,2.6805901659161613
796.5065502183355,31.62504616731293,28.948332106805395,2.6767140605075355
796.9432314410429,31.61546641967133,28.94262285976454,2.672843559906788
797.3799126637504,31.6059005242448,28.936921868235387,2.6689786560094113
797.8165938864578,31.596348461003195,28.931229120280538,2.665119340722658
798.2532751091652,31.58681020994532,28.925544603979873,2.661265605965447
798.6899563318726,31.5772857510989,28.9198683074305,2.657417443668397
799.12663755458,31.567775064520532,28.914200218746767,2.6535748457737647
799.5633187772875,31.558278130295676,28.908540326060166,2.64973780423551
799.9999999999949,31.54879492853857,28.902888617519377,2.6459063110191927
800.4366812227023,31.53932543939221,28.89724508129021,2.6420803581019996
800.8733624454097,31.5298696430283,28.891609705555584,2.6382599374727143
801.3100436681171,31.52042751964722,28.88598247851551,2.6344450411317126
801.7467248908246,31.510999049477984,28.880363388387057,2.6306356610909276
802.183406113532,31.501584212778184,28.874752423404342,2.626831789373842
802.6200873362394,31.492182989833985,28.869149571818483,2.6230334180155026
803.0567685589468,31.48279536096002,28.863554821897598,2.619240539062421
803.4934497816542,31.473421306499418,28.857968161926763,2.6154531445726548
803.9301310043617,31.46406080682371,28.852389580207987,2.611671226615723
804.3668122270691,31.454713842332826,28.846819065060206,2.6078947772726195
804.8034934497765,31.445380393455032,28.84125660481925,2.604123788635782
805.2401746724839,31.436060440646884,28.83570218783779,2.6003582528090945
805.6768558951914,31.42675396439321,28.830155802485375,2.596598161907835
806.1135371178988,31.417460945207072,28.824617437148337,2.592843508058735
806.5502183406062,31.40818136362967,28.81908708022983,2.589094283399838
806.9868995633136,31.398915200230366,28.813564720149753,2.5853504800806135
807.423580786021,31.389662435606617,28.808050345344768,2.5816120902618493
807.8602620087285,31.380423050383936,28.802543944268244,2.5778791061156916
808.2969432314359,31.37119702521585,28.797045505390262,2.5741515198255875
808.7336244541433,31.361984340783856,28.791555017197567,2.570429323586289
809.1703056768507,31.3527849777974,28.786072468193545,2.566712509603853
809.6069868995581,31.343598916993802,28.7805978468982,2.563001070095602
810.0436681222656,31.334426139138245,28.775131141848167,2.5592949972900776
810.480349344973,31.325266625023726,28.76967234159662,2.555594283427105
810.9170305676804,31.316120355471014,28.76422143471332,2.5518989207576936
811.3537117903878,31.306987311328616,28.75877840978453,2.5482089015440863
811.7903930130952,31.297867473472724,28.753343255413025,2.544524218059699
812.2270742358027,31.288760822807188,28.74791596021806,2.540844862589129
812.6637554585101,31.279667340263472,28.74249651283535,2.537170827428124
813.1004366812175,31.270587006800604,28.737084901917044,2.53350210488356
813.5371179039249,31.261519803405147,28.731681116131693,2.529838687273454
813.9737991266323,31.252465711091165,28.72628514416423,2.5261805669269357
814.4104803493398,31.243424710900175,28.720896974715963,2.5225277361842124
814.8471615720472,31.2343967839011,28.71551659650453,2.5188801873965723
815.2838427947546,31.225381911190247,28.710143998263877,2.51523791292637
815.720524017462,31.21638007389126,28.704779168744256,2.5116009051470023
816.1572052401694,31.20739125315505,28.69942209671217,2.507969156442879
816.5938864628769,31.198415430159816,28.694072770950374,2.504342659209442
817.0305676855843,31.189452586110956,28.688731180257843,2.5007214058531133
817.4672489082917,31.18050270224105,28.683397313449746,2.4971053887913044
817.9039301309991,31.171565759809813,28.67807115935743,2.493494600452383
818.3406113537065,31.16264174010407,28.672752706828387,2.4898890332756842
818.777292576414,31.15373062443769,28.667441944726242,2.4862886797114463
819.2139737991214,31.14483239415156,28.66213886193071,2.48269353222085
819.6506550218288,31.135947030613565,28.65684344733759,2.4791035832759754
820.0873362445362,31.127074515218517,28.651555689858746,2.475518825359771
820.5240174672437,31.118214829388133,28.64627557842207,2.471939250966063
820.9606986899511,31.10936795457101,28.64100310197147,2.4683648525995388
821.3973799126585,31.100533872242533,28.63573824946683,2.4647956227757035
821.8340611353659,31.091712563904917,28.630481009884008,2.461231554020909
822.2707423580733,31.0829040110871,28.625231372214795,2.457672638872303
822.7074235807808,31.074108195344728,28.6199893254669,2.454118869877828
823.1441048034882,31.06532509826013,28.61475485866393,2.4505702395961997
823.5807860261956,31.056554701442266,28.609527960845362,2.447026740596904
824.017467248903,31.04779698652667,28.604308621066536,2.4434883654601336
824.4541484716104,31.03905193517546,28.59909682839859,2.439955106776871
824.8908296943179,31.030319529077236,28.593892571928492,2.4364269571487434
825.3275109170253,31.0215997499471,28.588695840758973,2.432903909188127
825.7641921397327,31.012892579526603,28.58350662400852,2.4293859555180823
826.2008733624401,31.00419799958366,28.578324910811375,2.425873088772285
826.6375545851475,30.995515991912594,28.573150690317465,2.4223653015951285
827.074235807855,30.986846538334017,28.567983951692433,2.418862586641584
827.5109170305624,30.97818962069485,28.56282468411756,2.415364936577287
827.9475982532698,30.969545220868245,28.557672876789802,2.411872344078443
828.3842794759772,30.96091332075359,28.552528518921704,2.408384801831886
828.8209606986846,30.952293902276423,28.547391599741434,2.404902302534989
829.2576419213921,30.943686947388432,28.54226210849272,2.4014248388957107
829.6943231440995,30.93509243806739,28.537140034434852,2.3979524036325373
830.1310043668069,30.926510356317145,28.532025366842653,2.394484989474492
830.5676855895143,30.91794068416756,28.526918095006444,2.3910225891611177
831.0043668122217,30.90938340367447,28.52181820823204,2.3875651954424306
831.4410480349292,30.90083849691969,28.516725695840726,2.384112801078963
831.8777292576366,30.89230594601091,28.51164054716922,2.3806653988416926
832.314410480344,30.88378573308171,28.506562751569653,2.3772229815120554
832.7510917030514,30.8752778402915,28.501492298409563,2.3737855418819365
833.1877729257588,30.866782249825484,28.496429177071857,2.370353072753627
833.6244541484663,30.858298943894635,28.491373376954797,2.3669255669398375
834.0611353711737,30.849827904735633,28.48632488747198,2.3635030172636533
834.4978165938811,30.841369114610867,28.481283698052298,2.3600854165585687
834.9344978165885,30.832922555808352,28.47624979813994,2.356672757668413
835.371179039296,30.824488210641736,28.47122317719435,2.3532650334473857
835.8078602620034,30.81606606145023,28.46620382469023,2.34986223676
836.2445414847108,30.80765609059857,28.46119173011747,2.3464643604811
836.6812227074182,30.799258280477,28.456186882981186,2.343071397495816
837.1179039301256,30.790872613501254,28.451189272801663,2.3396833406995903
837.554585152833,30.78249907211244,28.44619888911434,2.3363001829981016
837.9912663755405,30.774137638777113,28.44121572146977,2.332921917307342
838.4279475982479,30.765788295987136,28.436239759433647,2.3295485365534887
838.8646288209553,30.75745102625972,28.431270992586725,2.326180033672994
839.3013100436627,30.74912581213734,28.42630941052484,2.3228164016124992
839.7379912663702,30.740812636187705,28.42135500285887,2.3194576333288346
840.1746724890776,30.73251148100375,28.416407759214707,2.3161037217890446
840.611353711785,30.72422232920358,28.411467669233257,2.3127546599703237
841.0480349344924,30.715945163430415,28.406534722570388,2.3094104408600273
841.4847161571998,30.707679966352604,28.401608908896943,2.306071057455661
841.9213973799073,30.699426720663517,28.39669021789869,2.3027365027648266
842.3580786026147,30.69118540908159,28.39177863927632,2.2994067698052696
842.7947598253221,30.682956014350225,28.386874162745414,2.2960818516048107
843.2314410480295,30.674738519237767,28.381976778036417,2.2927617412013497
843.668122270737,30.666532906537505,28.37708647489463,2.289446431642876
844.1048034934444,30.658339159067594,28.372203243080172,2.2861359159874226
844.5414847161518,30.650157259671023,28.36732707236799,2.282830187303034
