 Time(s)   T_center   T_surface   dT
    355.90      781.58      950.63      169.05
    356.33      782.19      950.99      168.80
    356.77      782.79      951.35      168.56
    357.21      783.39      951.71      168.32
    357.64      784.00      952.07      168.07
    358.08      784.60      952.43      167.83
    358.52      785.20      952.79      167.59
    358.95      785.80      953.14      167.34
    359.39      786.40      953.50      167.10
    359.83      787.00      953.86      166.86
    360.26      787.59      954.21      166.62
    360.70      788.19      954.57      166.38
    361.14      788.78      954.92      166.14
    361.57      789.38      955.28      165.90
    362.01      789.97      955.63      165.66
    362.45      790.57      955.98      165.42
    362.88      791.16      956.34      165.18
    363.32      791.75      956.69      164.94
    363.76      792.34      957.04      164.70
    364.19      792.93      957.39      164.46
    364.63      793.52      957.74      164.23
    365.07      794.10      958.09      163.99
    365.50      794.69      958.44      163.75
    365.94      795.28      958.79      163.52
    366.38      795.86      959.14      163.28
    366.81      796.45      959.49      163.04
    367.25      797.03      959.84      162.81
    367.69      797.61      960.19      162.57
    368.12      798.20      960.53      162.34
    368.56      798.78      960.88      162.10
    369.00      799.36      961.22      161.87
    369.43      799.94      961.57      161.63
    369.87      800.51      961.91      161.40
    370.31      801.09      962.26      161.17
    370.74      801.67      962.60      160.93
    371.18      802.24      962.95      160.70
    371.62      802.82      963.29      160.47
    372.05      803.39      963.63      160.24
    372.49      803.97      963.97      160.01
    372.93      804.54      964.31      159.77
    373.36      805.11      964.65      159.54
    373.80      805.68      964.99      159.31
    374.24      806.25      965.33      159.08
    374.67      806.82      965.67      158.85
    375.11      807.39      966.01      158.62
    375.55      807.96      966.35      158.39
    375.98      808.52      966.69      158.16
    376.42      809.09      967.03      157.94
    376.86      809.66      967.36      157.71
    377.29      810.22      967.70      157.48
    377.73      810.78      968.04      157.25
    378.17      811.35      968.37      157.02
    378.60      811.91      968.71      156.80
    379.04      812.47      969.04      156.57
    379.48      813.03      969.37      156.34
    379.91      813.59      969.71      156.12
    380.35      814.15      970.04      155.89
    380.79      814.71      970.37      155.67
    381.22      815.26      970.71      155.44
    381.66      815.82      971.04      155.22
    382.10      816.38      971.37      154.99
    382.53      816.93      971.70      154.77
    382.97      817.48      972.03      154.55
    383.41      818.04      972.36      154.32
    383.84      818.59      972.69      154.10
    384.28      819.14      973.02      153.88
    384.72      819.69      973.34      153.65
    385.15      820.24      973.67      153.43
    385.59      820.79      974.00      153.21
    386.03      821.34      974.33      152.99
    386.46      821.89      974.65      152.77
    386.90      822.43      974.98      152.55
    387.34      822.98      975.30      152.33
    387.77      823.52      975.63      152.11
    388.21      824.07      975.95      151.89
    388.65      824.61      976.28      151.67
    389.08      825.15      976.60      151.45
    389.52      825.70      976.92      151.23
    389.96      826.24      977.25      151.01
    390.39      826.78      977.57      150.79
    390.83      827.32      977.89      150.57
    391.27      827.86      978.21      150.35
    391.70      828.39      978.53      150.14
    392.14      828.93      978.85      149.92
    392.58      829.47      979.17      149.70
    393.01      830.00      979.49      149.49
    393.45      830.54      979.81      149.27
    393.89      831.07      980.13      149.06
    394.32      831.61      980.45      148.84
    394.76      832.14      980.76      148.62
    395.20      832.67      981.08      148.41
    395.63      833.20      981.40      148.20
    396.07      833.73      981.71      147.98
    396.51      834.26      982.03      147.77
    396.94      834.79      982.34      147.55
    397.38      835.32      982.66      147.34
    397.82      835.85      982.97      147.13
    398.25      836.37      983.29      146.91
    398.69      836.90      983.60      146.70
    399.13      837.42      983.91      146.49
    399.56      837.95      984.23      146.28
    400.00      838.47      984.54      146.07
    400.44      838.99      984.85      145.86
    400.87      839.52      985.16      145.64
    401.31      840.04      985.47      145.43
    401.75      840.56      985.78      145.22
    402.18      841.08      986.09      145.01
    402.62      841.60      986.40      144.80
    403.06      842.12      986.71      144.59
    403.49      842.63      987.02      144.39
    403.93      843.15      987.33      144.18
    404.37      843.67      987.63      143.97
    404.80      844.18      987.94      143.76
    405.24      844.70      988.25      143.55
    405.68      845.21      988.55      143.34
    406.11      845.72      988.86      143.14
    406.55      846.23      989.16      142.93
    406.99      846.75      989.47      142.72
    407.42      847.26      989.77      142.52
    407.86      847.77      990.08      142.31
    408.30      848.28      990.38      142.11
    408.73      848.78      990.68      141.90
    409.17      849.29      990.99      141.70
    409.61      849.80      991.29      141.49
    410.04      850.31      991.59      141.29
    410.48      850.81      991.89      141.08
    410.92      851.32      992.19      140.88
    411.35      851.82      992.49      140.67
    411.79      852.32      992.79      140.47
    412.23      852.83      993.09      140.27
    412.66      853.33      993.39      140.06
    413.10      853.83      993.69      139.86
    413.54      854.33      993.99      139.66
    413.97      854.83      994.29      139.46
    414.41      855.33      994.59      139.26
    414.85      855.83      994.88      139.05
    415.28      856.33      995.18      138.85
    415.72      856.82      995.48      138.65
    416.16      857.32      995.77      138.45
    416.59      857.81      996.07      138.25
    417.03      858.31      996.36      138.05
    417.47      858.80      996.66      137.85
    417.90      859.30      996.95      137.65
    418.34      859.79      997.24      137.45
    418.78      860.28      997.54      137.26
    419.21      860.77      997.83      137.06
    419.65      861.26      998.12      136.86
    420.09      861.75      998.41      136.66
    420.52      862.24      998.71      136.46
    420.96      862.73      999.00      136.27
    421.40      863.22      999.29      136.07
    421.83      863.70      999.58      135.87
    422.27      864.19      999.87      135.68
    422.71      864.68     1000.16      135.48
    423.14      865.16     1000.45      135.28
    423.58      865.65     1000.73      135.09
    424.02      866.13     1001.02      134.89
    424.45      866.61     1001.31      134.70
    424.89      867.09     1001.60      134.50
    425.33      867.58     1001.88      134.31
    425.76      868.06     1002.17      134.11
    426.20      868.54     1002.46      133.92
    426.64      869.02     1002.74      133.73
    427.07      869.49     1003.03      133.53
    427.51      869.97     1003.31      133.34
    427.95      870.45     1003.60      133.15
    428.38      870.93     1003.88      132.96
    428.82      871.40     1004.16      132.76
    429.26      871.88     1004.45      132.57
    429.69      872.35     1004.73      132.38
    430.13      872.82     1005.01      132.19
    430.57      873.30     1005.29      132.00
    431.00      873.77     1005.58      131.81
    431.44      874.24     1005.86      131.62
    431.88      874.71     1006.14      131.43
    432.31      875.18     1006.42      131.23
    432.75      875.65     1006.70      131.05
    433.19      876.12     1006.98      130.86
    433.62      876.59     1007.26      130.67
    434.06      877.06     1007.54      130.48
    434.50      877.52     1007.81      130.29
    434.93      877.99     1008.09      130.10
    435.37      878.46     1008.37      129.91
    435.81      878.92     1008.65      129.72
    436.24      879.39     1008.92      129.54
    436.68      879.85     1009.20      129.35
    437.12      880.31     1009.48      129.16
    437.55      880.77     1009.75      128.98
    437.99      881.24     1010.03      128.79
    438.43      881.70     1010.30      128.60
    438.86      882.16     1010.57      128.42
    439.30      882.62     1010.85      128.23
    439.74      883.08     1011.12      128.05
    440.17      883.53     1011.40      127.86
    440.61      883.99     1011.67      127.68
    441.05      884.45     1011.94      127.49
    441.48      884.91     1012.21      127.31
    441.92      885.36     1012.48      127.12
    442.36      885.82     1012.76      126.94
    442.79      886.27     1013.03      126.76
    443.23      886.72     1013.30      126.57
    443.67      887.18     1013.57      126.39
    444.10      887.63     1013.84      126.21
    444.54      888.08     1014.10      126.02
    444.98      888.53     1014.37      125.84
    445.41      888.98     1014.64      125.66
    445.85      889.43     1014.91      125.48
    446.29      889.88     1015.18      125.30
    446.72      890.33     1015.45      125.12
    447.16      890.78     1015.71      124.93
    447.60      891.22     1015.98      124.75
    448.03      891.67     1016.24      124.57
    448.47      892.12     1016.51      124.39
    448.91      892.56     1016.78      124.21
    449.34      893.01     1017.04      124.03
    449.78      893.45     1017.31      123.85
    450.22      893.89     1017.57      123.68
    450.66      894.34     1017.83      123.50
    451.09      894.78     1018.10      123.32
    451.53      895.22     1018.36      123.14
    451.97      895.66     1018.62      122.96
    452.40      896.10     1018.88      122.78
    452.84      896.54     1019.15      122.61
    453.28      896.98     1019.41      122.43
    453.71      897.42     1019.67      122.25
    454.15      897.85     1019.93      122.08
    454.59      898.29     1020.19      121.90
    455.02      898.73     1020.45      121.72
    455.46      899.16     1020.71      121.55
    455.90      899.60     1020.97      121.37
    456.33      900.03     1021.23      121.20
    456.77      900.47     1021.49      121.02
    457.21      900.90     1021.74      120.85
    457.64      901.33     1022.00      120.67
    458.08      901.76     1022.26      120.50
    458.52      902.19     1022.52      120.32
    458.95      902.63     1022.77      120.15
    459.39      903.06     1023.03      119.97
    459.83      903.48     1023.29      119.80
    460.26      903.91     1023.54      119.63
    460.70      904.34     1023.80      119.45
    461.14      904.77     1024.05      119.28
    461.57      905.20     1024.31      119.11
    462.01      905.62     1024.56      118.94
    462.45      906.05     1024.81      118.77
    462.88      906.47     1025.07      118.59
    463.32      906.90     1025.32      118.42
    463.76      907.32     1025.57      118.25
    464.19      907.74     1025.82      118.08
    464.63      908.17     1026.08      117.91
    465.07      908.59     1026.33      117.74
    465.50      909.01     1026.58      117.57
    465.94      909.43     1026.83      117.40
    466.38      909.85     1027.08      117.23
    466.81      910.27     1027.33      117.06
    467.25      910.69     1027.58      116.89
    467.69      911.11     1027.83      116.72
    468.12      911.53     1028.08      116.55
    468.56      911.94     1028.33      116.38
    469.00      912.36     1028.57      116.22
    469.43      912.78     1028.82      116.05
    469.87      913.19     1029.07      115.88
    470.31      913.61     1029.32      115.71
    470.74      914.02     1029.56      115.54
    471.18      914.43     1029.81      115.38
    471.62      914.85     1030.06      115.21
    472.05      915.26     1030.30      115.04
    472.49      915.67     1030.55      114.88
    472.93      916.08     1030.79      114.71
    473.36      916.49     1031.04      114.55
    473.80      916.90     1031.28      114.38
    474.24      917.31     1031.53      114.21
    474.67      917.72     1031.77      114.05
    475.11      918.13     1032.01      113.88
    475.55      918.54     1032.26      113.72
    475.98      918.94     1032.50      113.56
    476.42      919.35     1032.74      113.39
    476.86      919.75     1032.98      113.23
    477.29      920.16     1033.22      113.06
    477.73      920.56     1033.46      112.90
    478.17      920.97     1033.71      112.74
    478.60      921.37     1033.95      112.57
    479.04      921.78     1034.19      112.41
    479.48      922.18     1034.43      112.25
    479.91      922.58     1034.67      112.09
    480.35      922.98     1034.90      111.92
    480.79      923.38     1035.14      111.76
    481.22      923.78     1035.38      111.60
    481.66      924.18     1035.62      111.44
    482.10      924.58     1035.86      111.28
    482.53      924.98     1036.09      111.12
    482.97      925.38     1036.33      110.96
    483.41      925.77     1036.57      110.80
    483.84      926.17     1036.80      110.64
    484.28      926.56     1037.04      110.48
    484.72      926.96     1037.28      110.32
    485.15      927.35     1037.51      110.16
    485.59      927.75     1037.75      110.00
    486.03      928.14     1037.98      109.84
    486.46      928.54     1038.22      109.68
    486.90      928.93     1038.45      109.52
    487.34      929.32     1038.68      109.36
    487.77      929.71     1038.92      109.20
    488.21      930.10     1039.15      109.05
    488.65      930.49     1039.38      108.89
    489.08      930.88     1039.61      108.73
    489.52      931.27     1039.85      108.57
    489.96      931.66     1040.08      108.42
    490.39      932.05     1040.31      108.26
    490.83      932.44     1040.54      108.10
    491.27      932.82     1040.77      107.95
    491.70      933.21     1041.00      107.79
    492.14      933.59     1041.23      107.64
    492.58      933.98     1041.46      107.48
    493.01      934.36     1041.69      107.32
    493.45      934.75     1041.92      107.17
    493.89      935.13     1042.15      107.01
    494.32      935.52     1042.37      106.86
    494.76      935.90     1042.60      106.71
    495.20      936.28     1042.83      106.55
    495.63      936.66     1043.06      106.40
    496.07      937.04     1043.28      106.24
    496.51      937.42     1043.51      106.09
    496.94      937.80     1043.74      105.94
    497.38      938.18     1043.96      105.78
    497.82      938.56     1044.19      105.63
    498.25      938.94     1044.41      105.48
    498.69      939.31     1044.64      105.32
    499.13      939.69     1044.86      105.17
    499.56      940.07     1045.09      105.02
    500.00      940.44     1045.31      104.87
    500.44      940.82     1045.54      104.72
    500.87      941.19     1045.76      104.57
    501.31      941.57     1045.98      104.41
    501.75      941.94     1046.21      104.26
    502.18      942.32     1046.43      104.11
    502.62      942.69     1046.65      103.96
    503.06      943.06     1046.87      103.81
    503.49      943.43     1047.09      103.66
    503.93      943.80     1047.31      103.51
    504.37      944.17     1047.53      103.36
    504.80      944.54     1047.76      103.21
    505.24      944.91     1047.98      103.06
    505.68      945.28     1048.20      102.91
    506.11      945.65     1048.41      102.77
    506.55      946.02     1048.63      102.62
    506.99      946.38     1048.85      102.47
    507.42      946.75     1049.07      102.32
    507.86      947.12     1049.29      102.17
    508.30      947.48     1049.51      102.02
    508.73      947.85     1049.72      101.88
    509.17      948.21     1049.94      101.73
    509.61      948.58     1050.16      101.58
    510.04      948.94     1050.38      101.44
    510.48      949.30     1050.59      101.29
    510.92      949.67     1050.81      101.14
    511.35      950.03     1051.02      101.00
    511.79      950.39     1051.24      100.85
    512.23      950.75     1051.45      100.70
    512.66      951.11     1051.67      100.56
    513.10      951.47     1051.88      100.41
    513.54      951.83     1052.10      100.27
    513.97      952.19     1052.31      100.12
    514.41      952.55     1052.53       99.98
    514.85      952.91     1052.74       99.83
    515.28      953.26     1052.95       99.69
    515.72      953.62     1053.16       99.55
    516.16      953.98     1053.38       99.40
    516.59      954.33     1053.59       99.26
    517.03      954.69     1053.80       99.11
    517.47      955.04     1054.01       98.97
    517.90      955.40     1054.22       98.83
    518.34      955.75     1054.43       98.68
    518.78      956.10     1054.64       98.54
    519.21      956.45     1054.85       98.40
    519.65      956.81     1055.06       98.26
    520.09      957.16     1055.27       98.12
    520.52      957.51     1055.48       97.97
    520.96      957.86     1055.69       97.83
    521.40      958.21     1055.90       97.69
    521.83      958.56     1056.11       97.55
    522.27      958.91     1056.32       97.41
    522.71      959.26     1056.52       97.27
    523.14      959.61     1056.73       97.13
    523.58      959.95     1056.94       96.99
    524.02      960.30     1057.15       96.85
    524.45      960.65     1057.35       96.71
    524.89      960.99     1057.56       96.57
    525.33      961.34     1057.77       96.43
    525.76      961.68     1057.97       96.29
    526.20      962.03     1058.18       96.15
    526.64      962.37     1058.38       96.01
    527.07      962.72     1058.59       95.87
    527.51      963.06     1058.79       95.73
    527.95      963.40     1058.99       95.59
    528.38      963.74     1059.20       95.45
    528.82      964.09     1059.40       95.32
    529.26      964.43     1059.61       95.18
    529.69      964.77     1059.81       95.04
    530.13      965.11     1060.01       94.90
    530.57      965.45     1060.21       94.77
    531.00      965.79     1060.42       94.63
    531.44      966.13     1060.62       94.49
    531.88      966.46     1060.82       94.36
    532.31      966.80     1061.02       94.22
    532.75      967.14     1061.22       94.08
    533.19      967.48     1061.42       93.95
    533.62      967.81     1061.62       93.81
    534.06      968.15     1061.82       93.68
    534.50      968.48     1062.02       93.54
    534.93      968.82     1062.22       93.40
    535.37      969.15     1062.42       93.27
    535.81      969.49     1062.62       93.13
    536.24      969.82     1062.82       93.00
    536.68      970.15     1063.02       92.87
    537.12      970.48     1063.22       92.73
    537.55      970.82     1063.41       92.60
    537.99      971.15     1063.61       92.46
    538.43      971.48     1063.81       92.33
    538.86      971.81     1064.00       92.20
    539.30      972.14     1064.20       92.06
    539.74      972.47     1064.40       91.93
    540.17      972.80     1064.59       91.80
    540.61      973.13     1064.79       91.66
    541.05      973.45     1064.98       91.53
    541.48      973.78     1065.18       91.40
    541.92      974.11     1065.38       91.27
    542.36      974.43     1065.57       91.14
    542.79      974.76     1065.76       91.00
    543.23      975.09     1065.96       90.87
    543.67      975.41     1066.15       90.74
    544.10      975.74     1066.35       90.61
    544.54      976.06     1066.54       90.48
    544.98      976.38     1066.73       90.35
    545.41      976.71     1066.92       90.22
    545.85      977.03     1067.12       90.09
    546.29      977.35     1067.31       89.96
    546.72      977.68     1067.50       89.83
    547.16      978.00     1067.69       89.70
    547.60      978.32     1067.88       89.57
    548.03      978.64     1068.07       89.44
    548.47      978.96     1068.27       89.31
    548.91      979.28     1068.46       89.18
    549.34      979.60     1068.65       89.05
    549.78      979.92     1068.84       88.92
    550.22      980.23     1069.03       88.79
    550.66      980.55     1069.22       88.66
    551.09      980.87     1069.40       88.54
    551.53      981.19     1069.59       88.41
    551.97      981.50     1069.78       88.28
    552.40      981.82     1069.97       88.15
    552.84      982.13     1070.16       88.02
    553.28      982.45     1070.35       87.90
    553.71      982.76     1070.53       87.77
    554.15      983.08     1070.72       87.64
    554.59      983.39     1070.91       87.52
    555.02      983.70     1071.09       87.39
    555.46      984.02     1071.28       87.26
    555.90      984.33     1071.47       87.14
    556.33      984.64     1071.65       87.01
    556.77      984.95     1071.84       86.89
    557.21      985.26     1072.02       86.76
    557.64      985.57     1072.21       86.63
    558.08      985.88     1072.39       86.51
    558.52      986.19     1072.58       86.38
    558.95      986.50     1072.76       86.26
    559.39      986.81     1072.95       86.13
    559.83      987.12     1073.13       86.01
    560.26      987.43     1073.31       85.89
    560.70      987.74     1073.50       85.76
    561.14      988.04     1073.68       85.64
    561.57      988.35     1073.86       85.51
    562.01      988.65     1074.04       85.39
    562.45      988.96     1074.23       85.27
    562.88      989.27     1074.41       85.14
    563.32      989.57     1074.59       85.02
    563.76      989.87     1074.77       84.90
    564.19      990.18     1074.95       84.77
    564.63      990.48     1075.13       84.65
    565.07      990.78     1075.31       84.53
    565.50      991.09     1075.49       84.41
    565.94      991.39     1075.67       84.28
    566.38      991.69     1075.85       84.16
    566.81      991.99     1076.03       84.04
    567.25      992.29     1076.21       83.92
    567.69      992.59     1076.39       83.80
    568.12      992.89     1076.57       83.68
    568.56      993.19     1076.75       83.56
    569.00      993.49     1076.93       83.44
    569.43      993.79     1077.11       83.31
    569.87      994.09     1077.28       83.19
    570.31      994.39     1077.46       83.07
    570.74      994.68     1077.64       82.95
    571.18      994.98     1077.81       82.83
    571.62      995.28     1077.99       82.71
    572.05      995.57     1078.17       82.59
    572.49      995.87     1078.34       82.48
    572.93      996.16     1078.52       82.36
    573.36      996.46     1078.70       82.24
    573.80      996.75     1078.87       82.12
    574.24      997.05     1079.05       82.00
    574.67      997.34     1079.22       81.88
    575.11      997.63     1079.40       81.76
    575.55      997.93     1079.57       81.64
    575.98      998.22     1079.74       81.53
    576.42      998.51     1079.92       81.41
    576.86      998.80     1080.09       81.29
    577.29      999.09     1080.26       81.17
    577.73      999.38     1080.44       81.06
    578.17      999.67     1080.61       80.94
    578.60      999.96     1080.78       80.82
    579.04     1000.25     1080.96       80.70
    579.48     1000.54     1081.13       80.59
    579.91     1000.83     1081.30       80.47
    580.35     1001.12     1081.47       80.35
    580.79     1001.40     1081.64       80.24
    581.22     1001.69     1081.81       80.12
    581.66     1001.98     1081.98       80.01
    582.10     1002.26     1082.16       79.89
    582.53     1002.55     1082.33       79.78
    582.97     1002.84     1082.50       79.66
    583.41     1003.12     1082.67       79.54
    583.84     1003.41     1082.84       79.43
    584.28     1003.69     1083.01       79.31
    584.72     1003.97     1083.17       79.20
    585.15     1004.26     1083.34       79.09
    585.59     1004.54     1083.51       78.97
    586.03     1004.82     1083.68       78.86
    586.46     1005.11     1083.85       78.74
    586.90     1005.39     1084.02       78.63
    587.34     1005.67     1084.18       78.52
    587.77     1005.95     1084.35       78.40
    588.21     1006.23     1084.52       78.29
    588.65     1006.51     1084.69       78.18
    589.08     1006.79     1084.85       78.06
    589.52     1007.07     1085.02       77.95
    589.96     1007.35     1085.19       77.84
    590.39     1007.63     1085.35       77.72
    590.83     1007.91     1085.52       77.61
    591.27     1008.18     1085.68       77.50
    591.70     1008.46     1085.85       77.39
    592.14     1008.74     1086.01       77.28
    592.58     1009.01     1086.18       77.16
    593.01     1009.29     1086.34       77.05
    593.45     1009.57     1086.51       76.94
    593.89     1009.84     1086.67       76.83
    594.32     1010.12     1086.83       76.72
    594.76     1010.39     1087.00       76.61
    595.20     1010.66     1087.16       76.50
    595.63     1010.94     1087.33       76.39
    596.07     1011.21     1087.49       76.28
    596.51     1011.49     1087.65       76.17
    596.94     1011.76     1087.81       76.06
    597.38     1012.03     1087.98       75.95
    597.82     1012.30     1088.14       75.84
    598.25     1012.57     1088.30       75.73
    598.69     1012.84     1088.46       75.62
    599.13     1013.11     1088.62       75.51
    599.56     1013.38     1088.78       75.40
    600.00     1013.65     1088.94       75.29
    600.44     1013.92     1089.10       75.18
    600.87     1014.19     1089.26       75.07
    601.31     1014.46     1089.42       74.96
    601.75     1014.73     1089.58       74.85
    602.18     1015.00     1089.74       74.75
    602.62     1015.27     1089.90       74.64
    603.06     1015.53     1090.06       74.53
    603.49     1015.80     1090.22       74.42
    603.93     1016.07     1090.38       74.31
    604.37     1016.33     1090.54       74.21
    604.80     1016.60     1090.70       74.10
    605.24     1016.86     1090.86       73.99
    605.68     1017.13     1091.01       73.89
    606.11     1017.39     1091.17       73.78
    606.55     1017.66     1091.33       73.67
    606.99     1017.92     1091.49       73.57
    607.42     1018.18     1091.64       73.46
    607.86     1018.45     1091.80       73.35
    608.30     1018.71     1091.96       73.25
    608.73     1018.97     1092.11       73.14
    609.17     1019.23     1092.27       73.04
    609.61     1019.49     1092.42       72.93
    610.04     1019.75     1092.58       72.82
    610.48     1020.02     1092.73       72.72
    610.92     1020.28     1092.89       72.61
    611.35     1020.54     1093.04       72.51
    611.79     1020.79     1093.20       72.40
    612.23     1021.05     1093.35       72.30
    612.66     1021.31     1093.51       72.19
    613.10     1021.57     1093.66       72.09
    613.54     1021.83     1093.82       71.99
    613.97     1022.09     1093.97       71.88
    614.41     1022.34     1094.12       71.78
    614.85     1022.60     1094.28       71.67
    615.28     1022.86     1094.43       71.57
    615.72     1023.11     1094.58       71.47
    616.16     1023.37     1094.73       71.36
    616.59     1023.62     1094.89       71.26
    617.03     1023.88     1095.04       71.16
    617.47     1024.13     1095.19       71.05
    617.90     1024.39     1095.34       70.95
    618.34     1024.64     1095.49       70.85
    618.78     1024.90     1095.64       70.75
    619.21     1025.15     1095.79       70.64
    619.65     1025.40     1095.94       70.54
    620.09     1025.65     1096.10       70.44
    620.52     1025.91     1096.25       70.34
    620.96     1026.16     1096.40       70.24
    621.40     1026.41     1096.55       70.14
    621.83     1026.66     1096.70       70.03
    622.27     1026.91     1096.84       69.93
    622.71     1027.16     1096.99       69.83
    623.14     1027.41     1097.14       69.73
    623.58     1027.66     1097.29       69.63
    624.02     1027.91     1097.44       69.53
    624.45     1028.16     1097.59       69.43
    624.89     1028.41     1097.74       69.33
    625.33     1028.66     1097.88       69.23
    625.76     1028.90     1098.03       69.13
    626.20     1029.15     1098.18       69.03
    626.64     1029.40     1098.33       68.93
    627.07     1029.64     1098.47       68.83
    627.51     1029.89     1098.62       68.73
    627.95     1030.14     1098.77       68.63
    628.38     1030.38     1098.91       68.53
    628.82     1030.63     1099.06       68.43
    629.26     1030.87     1099.21       68.33
    629.69     1031.12     1099.35       68.23
    630.13     1031.36     1099.50       68.13
    630.57     1031.61     1099.64       68.04
    631.00     1031.85     1099.79       67.94
    631.44     1032.09     1099.93       67.84
    631.88     1032.34     1100.08       67.74
    632.31     1032.58     1100.22       67.64
    632.75     1032.82     1100.37       67.55
    633.19     1033.06     1100.51       67.45
    633.62     1033.30     1100.65       67.35
    634.06     1033.54     1100.80       67.25
    634.50     1033.78     1100.94       67.16
    634.93     1034.02     1101.08       67.06
    635.37     1034.26     1101.23       66.96
    635.81     1034.50     1101.37       66.87
    636.24     1034.74     1101.51       66.77
    636.68     1034.98     1101.65       66.67
    637.12     1035.22     1101.80       66.58
    637.55     1035.46     1101.94       66.48
    637.99     1035.70     1102.08       66.38
    638.43     1035.94     1102.22       66.29
    638.86     1036.17     1102.36       66.19
    639.30     1036.41     1102.50       66.10
    639.74     1036.65     1102.65       66.00
    640.17     1036.88     1102.79       65.90
    640.61     1037.12     1102.93       65.81
    641.05     1037.35     1103.07       65.71
    641.48     1037.59     1103.21       65.62
    641.92     1037.82     1103.35       65.52
    642.36     1038.06     1103.49       65.43
    642.79     1038.29     1103.63       65.33
    643.23     1038.53     1103.77       65.24
    643.67     1038.76     1103.91       65.15
    644.10     1038.99     1104.04       65.05
    644.54     1039.23     1104.18       64.96
    644.98     1039.46     1104.32       64.86
    645.41     1039.69     1104.46       64.77
    645.85     1039.92     1104.60       64.68
    646.29     1040.15     1104.74       64.58
    646.72     1040.38     1104.87       64.49
    647.16     1040.62     1105.01       64.40
    647.60     1040.85     1105.15       64.30
    648.03     1041.08     1105.29       64.21
    648.47     1041.31     1105.42       64.12
    648.91     1041.54     1105.56       64.02
    649.34     1041.76     1105.70       63.93
    649.78     1041.99     1105.83       63.84
    650.22     1042.22     1105.97       63.75
    650.66     1042.45     1106.10       63.65
    651.09     1042.68     1106.24       63.56
    651.53     1042.91     1106.38       63.47
    651.97     1043.13     1106.51       63.38
    652.40     1043.36     1106.65       63.29
    652.84     1043.59     1106.78       63.20
    653.28     1043.81     1106.92       63.10
    653.71     1044.04     1107.05       63.01
    654.15     1044.26     1107.19       62.92
    654.59     1044.49     1107.32       62.83
    655.02     1044.71     1107.45       62.74
    655.46     1044.94     1107.59       62.65
    655.90     1045.16     1107.72       62.56
    656.33     1045.39     1107.85       62.47
    656.77     1045.61     1107.99       62.38
    657.21     1045.83     1108.12       62.29
    657.64     1046.06     1108.25       62.20
    658.08     1046.28     1108.39       62.11
    658.52     1046.50     1108.52       62.02
    658.95     1046.72     1108.65       61.93
    659.39     1046.94     1108.78       61.84
    659.83     1047.17     1108.92       61.75
    660.26     1047.39     1109.05       61.66
    660.70     1047.61     1109.18       61.57
    661.14     1047.83     1109.31       61.48
    661.57     1048.05     1109.44       61.39
    662.01     1048.27     1109.57       61.30
    662.45     1048.49     1109.70       61.22
    662.88     1048.71     1109.83       61.13
    663.32     1048.92     1109.96       61.04
    663.76     1049.14     1110.09       60.95
    664.19     1049.36     1110.22       60.86
    664.63     1049.58     1110.35       60.77
    665.07     1049.80     1110.48       60.69
    665.50     1050.01     1110.61       60.60
    665.94     1050.23     1110.74       60.51
    666.38     1050.45     1110.87       60.42
    666.81     1050.66     1111.00       60.34
    667.25     1050.88     1111.13       60.25
    667.69     1051.09     1111.26       60.16
    668.12     1051.31     1111.39       60.08
    668.56     1051.53     1111.51       59.99
    669.00     1051.74     1111.64       59.90
    669.43     1051.95     1111.77       59.81
    669.87     1052.17     1111.90       59.73
    670.31     1052.38     1112.02       59.64
    670.74     1052.60     1112.15       59.56
    671.18     1052.81     1112.28       59.47
    671.62     1053.02     1112.41       59.38
    672.05     1053.23     1112.53       59.30
    672.49     1053.45     1112.66       59.21
    672.93     1053.66     1112.78       59.13
    673.36     1053.87     1112.91       59.04
    673.80     1054.08     1113.04       58.96
    674.24     1054.29     1113.16       58.87
    674.67     1054.50     1113.29       58.79
    675.11     1054.71     1113.41       58.70
    675.55     1054.92     1113.54       58.62
    675.98     1055.13     1113.66       58.53
    676.42     1055.34     1113.79       58.45
    676.86     1055.55     1113.91       58.36
    677.29     1055.76     1114.04       58.28
    677.73     1055.97     1114.16       58.19
    678.17     1056.18     1114.29       58.11
    678.60     1056.39     1114.41       58.02
    679.04     1056.59     1114.53       57.94
    679.48     1056.80     1114.66       57.86
    679.91     1057.01     1114.78       57.77
    680.35     1057.21     1114.90       57.69
    680.79     1057.42     1115.03       57.61
    681.22     1057.63     1115.15       57.52
    681.66     1057.83     1115.27       57.44
    682.10     1058.04     1115.39       57.36
    682.53     1058.24     1115.52       57.27
    682.97     1058.45     1115.64       57.19
    683.41     1058.65     1115.76       57.11
    683.84     1058.86     1115.88       57.03
    684.28     1059.06     1116.00       56.94
    684.72     1059.27     1116.13       56.86
    685.15     1059.47     1116.25       56.78
    685.59     1059.67     1116.37       56.70
    686.03     1059.88     1116.49       56.61
    686.46     1060.08     1116.61       56.53
    686.90     1060.28     1116.73       56.45
    687.34     1060.48     1116.85       56.37
    687.77     1060.68     1116.97       56.29
    688.21     1060.89     1117.09       56.21
    688.65     1061.09     1117.21       56.13
    689.08     1061.29     1117.33       56.04
    689.52     1061.49     1117.45       55.96
    689.96     1061.69     1117.57       55.88
    690.39     1061.89     1117.69       55.80
    690.83     1062.09     1117.81       55.72
    691.27     1062.29     1117.93       55.64
    691.70     1062.49     1118.05       55.56
