 Time(s)   T_center   T_surface   dT
     81.66      190.94      569.98      379.04
     82.10      192.05      571.03      378.98
     82.53      193.17      572.07      378.90
     82.97      194.29      573.11      378.83
     83.41      195.41      574.15      378.74
     83.84      196.53      575.18      378.65
     84.28      197.66      576.21      378.56
     84.72      198.79      577.24      378.45
     85.15      199.92      578.27      378.35
     85.59      201.05      579.29      378.23
     86.03      202.19      580.30      378.11
     86.46      203.33      581.32      377.99
     86.90      204.47      582.33      377.86
     87.34      205.61      583.34      377.72
     87.77      206.76      584.34      377.58
     88.21      207.91      585.35      377.44
     88.65      209.06      586.35      377.29
     89.08      210.21      587.34      377.13
     89.52      211.37      588.34      376.97
     89.96      212.52      589.33      376.80
     90.39      213.68      590.31      376.63
     90.83      214.84      591.30      376.46
     91.27      216.00      592.28      376.28
     91.70      217.17      593.26      376.09
     92.14      218.33      594.24      375.90
     92.58      219.50      595.21      375.71
     93.01      220.67      596.18      375.51
     93.45      221.84      597.15      375.31
     93.89      223.01      598.12      375.10
     94.32      224.19      599.08      374.89
     94.76      225.36      600.04      374.68
     95.20      226.54      601.00      374.46
     95.63      227.72      601.95      374.23
     96.07      228.90      602.91      374.01
     96.51      230.08      603.86      373.78
     96.94      231.26      604.80      373.54
     97.38      232.45      605.75      373.30
     97.82      233.63      606.69      373.06
     98.25      234.82      607.63      372.82
     98.69      236.00      608.57      372.57
     99.13      237.19      609.50      372.31
     99.56      238.38      610.44      372.06
    100.00      239.57      611.37      371.80
    100.44      240.76      612.29      371.53
    100.87      241.95      613.22      371.27
    101.31      243.14      614.14      371.00
    101.75      244.34      615.06      370.73
    102.18      245.53      615.98      370.45
    102.62      246.73      616.90      370.17
    103.06      247.92      617.81      369.89
    103.49      249.12      618.72      369.60
    103.93      250.32      619.63      369.32
    104.37      251.52      620.54      369.02
    104.80      252.71      621.44      368.73
    105.24      253.91      622.35      368.43
    105.68      255.11      623.25      368.13
    106.11      256.31      624.15      367.83
    106.55      257.51      625.04      367.53
    106.99      258.72      625.94      367.22
    107.42      259.92      626.83      366.91
