Czas (s),Temperatura w osi (C),Temperatura na powierzchni (C),Roznica dT (C)
0.0000,100.0000,100.0000,0.0000
10.8696,100.9274,269.9367,169.0092
21.7391,104.4000,347.7851,243.3851
32.6087,111.8028,403.0657,291.2628
43.4783,123.7528,447.3071,323.5543
54.3478,140.1185,484.8047,344.6862
65.2174,160.2966,517.6939,357.3973
76.0870,183.4911,547.2121,363.7210
86.9565,208.8996,574.1466,365.2470
97.8261,235.8095,599.0304,363.2209
108.6957,263.6312,622.2398,358.6086
119.5652,291.8993,644.0488,352.1495
130.4348,320.2573,664.6615,344.4043
141.3043,348.4389,684.2330,335.7941
152.1739,376.2496,702.8828,326.6332
163.0435,403.5501,720.7044,317.1543
173.9130,430.2434,737.7724,307.5290
184.7826,456.2645,754.1470,297.8825
195.6522,481.5722,769.8776,288.3054
206.5217,506.1428,785.0054,278.8626
217.3913,529.9657,799.5655,269.5998
228.2609,553.0399,813.5880,260.5481
239.1304,575.3712,827.0996,251.7284
250.0000,596.9703,840.1239,243.1536
260.8696,617.8513,852.6822,234.8309
271.7391,638.0308,864.7939,226.7631
282.6087,657.5269,876.4771,218.9501
293.4783,676.3587,887.7484,211.3897
304.3478,694.5457,898.6236,204.0779
315.2174,712.1077,909.1175,197.0098
326.0870,729.0645,919.2440,190.1795
336.9565,745.4357,929.0165,183.5808
347.8261,761.2406,938.4478,177.2072
358.6957,776.4981,947.5501,171.0520
369.5652,791.2266,956.3349,165.1084
380.4348,805.4440,964.8137,159.3697
391.3043,819.1677,972.9970,153.8293
402.1739,832.4148,980.8954,148.4806
413.0435,845.2016,988.5188,143.3172
423.9130,857.5439,995.8768,138.3329
434.7826,869.4572,1002.9787,133.5215
445.6522,880.9562,1009.8334,128.8772
456.5217,892.0553,1016.4495,124.3942
467.3913,902.7684,1022.8355,120.0670
478.2609,913.1089,1028.9992,115.8903
489.1304,923.0898,1034.9485,111.8587
500.0000,932.7234,1040.6907,107.9673
510.8696,942.0219,1046.2332,104.2113
521.7391,950.9970,1051.5828,100.5858
532.6087,959.6598,1056.7464,97.0865
543.4783,968.0213,1061.7302,93.7089
554.3478,976.0919,1066.5407,90.4488
565.2174,983.8817,1071.1838,87.3021
576.0870,991.4005,1075.6654,84.2648
586.9565,998.6578,1079.9910,81.3333
597.8261,1005.6625,1084.1662,78.5037
608.6957,1012.4236,1088.1961,75.7725
619.5652,1018.9494,1092.0858,73.1364
630.4348,1025.2483,1095.8402,70.5919
641.3043,1031.3279,1099.4639,68.1360
652.1739,1037.1961,1102.9616,65.7655
663.0435,1042.8601,1106.3376,63.4775
673.9130,1048.3270,1109.5962,61.2691
684.7826,1053.6038,1112.7414,59.1376
695.6522,1058.6970,1115.7771,57.0801
706.5217,1063.6130,1118.7073,55.0943
717.3913,1068.3579,1121.5355,53.1775
728.2609,1072.9378,1124.2653,51.3275
739.1304,1077.3583,1126.9001,49.5418
750.0000,1081.6251,1129.4433,47.8182
760.8696,1085.7434,1131.8980,46.1546
771.7391,1089.7184,1134.2673,44.5489
782.6087,1093.5552,1136.5541,42.9990
793.4783,1097.2584,1138.7614,41.5030
804.3478,1100.8328,1140.8920,40.0591
815.2174,1104.2829,1142.9483,38.6655
826.0870,1107.6129,1144.9332,37.3203
836.9565,1110.8271,1146.8490,36.0219
847.8261,1113.9295,1148.6981,34.7687
858.6957,1116.9239,1150.4829,33.5591
869.5652,1119.8141,1152.2057,32.3915
880.4348,1122.6038,1153.8684,31.2646
891.3043,1125.2965,1155.4734,30.1769
902.1739,1127.8954,1157.0225,29.1270
913.0435,1130.4040,1158.5177,28.1137
923.9130,1132.8253,1159.9609,27.1356
934.7826,1135.1623,1161.3538,26.1916
945.6522,1137.4180,1162.6984,25.2803
956.5217,1139.5953,1163.9961,24.4008
967.3913,1141.6968,1165.2487,23.5519
978.2609,1143.7252,1166.4577,22.7325
989.1304,1145.6830,1167.6246,21.9417
1000.0000,1147.5727,1168.7510,21.1783
