Czas (s),Temperatura w osi (C),Temperatura na powierzchni (C),Roznica dT (C)
647.3430,1038.0169,1103.4484,65.4315
652.1739,1040.5709,1104.9708,64.3998
657.0048,1043.0847,1106.4691,63.3844
661.8357,1045.5588,1107.9438,62.3850
666.6667,1047.9938,1109.3953,61.4014
671.4976,1050.3905,1110.8238,60.4333
676.3285,1052.7495,1112.2299,59.4804
681.1594,1055.0712,1113.6138,58.5426
685.9903,1057.3563,1114.9758,57.6196
690.8213,1059.6054,1116.3164,56.7111
695.6522,1061.8190,1117.6359,55.8169
700.4831,1063.9977,1118.9345,54.9368
705.3140,1066.1421,1120.2127,54.0706
710.1449,1068.2526,1121.4707,53.2181
714.9758,1070.3299,1122.7089,52.3790
719.8068,1072.3744,1123.9275,51.5531
724.6377,1074.3867,1125.1270,50.7403
729.4686,1076.3672,1126.3075,49.9403
734.2995,1078.3166,1127.4694,49.1528
739.1304,1080.2352,1128.6130,48.3778
743.9614,1082.1235,1129.7386,47.6151
748.7923,1083.9821,1130.8464,46.8643
753.6232,1085.8114,1131.9368,46.1254
758.4541,1087.6118,1133.0099,45.3981
763.2850,1089.3838,1134.0662,44.6823
768.1159,1091.1279,1135.1057,43.9778
772.9469,1092.8445,1136.1289,43.2844
777.7778,1094.5340,1137.1360,42.6020
782.6087,1096.1969,1138.1272,41.9302
787.4396,1097.8336,1139.1027,41.2691
792.2705,1099.4445,1140.0629,40.6184
797.1014,1101.0299,1141.0079,39.9780
801.9324,1102.5904,1141.9381,39.3477
806.7633,1104.1263,1142.8535,38.7273
811.5942,1105.6379,1143.7546,38.1166
816.4251,1107.1258,1144.6414,37.5157
821.2560,1108.5901,1145.5143,36.9241
826.0870,1110.0314,1146.3733,36.3420
830.9179,1111.4499,1147.2189,35.7689
835.7488,1112.8461,1148.0511,35.2050
840.5797,1114.2203,1148.8702,34.6499
845.4106,1115.5728,1149.6763,34.1036
850.2415,1116.9039,1150.4698,33.5659
855.0725,1118.2141,1151.2507,33.0366
859.9034,1119.5037,1152.0194,32.5157
864.7343,1120.7728,1152.7759,32.0030
869.5652,1122.0220,1153.5205,31.4984
874.3961,1123.2515,1154.2533,31.0018
879.2271,1124.4616,1154.9746,30.5130
884.0580,1125.6526,1155.6845,30.0319
888.8889,1126.8249,1156.3833,29.5584
893.7198,1127.9786,1157.0710,29.0923
898.5507,1129.1142,1157.7478,28.6336
903.3816,1130.2319,1158.4140,28.1822
908.2126,1131.3319,1159.0697,27.7378
913.0435,1132.4146,1159.7151,27.3005
917.8744,1133.4802,1160.3503,26.8700
922.7053,1134.5291,1160.9754,26.4464
927.5362,1135.5614,1161.5907,26.0294
932.3671,1136.5774,1162.1963,25.6190
937.1981,1137.5774,1162.7924,25.2150
942.0290,1138.5616,1163.3790,24.8175
946.8599,1139.5303,1163.9564,24.4262
951.6908,1140.4837,1164.5247,24.0410
956.5217,1141.4221,1165.0841,23.6620
961.3527,1142.3457,1165.6346,23.2889
966.1836,1143.2548,1166.1765,22.9217
971.0145,1144.1495,1166.7098,22.5603
975.8454,1145.0301,1167.2346,22.2046
980.6763,1145.8968,1167.7513,21.8545
985.5072,1146.7498,1168.2597,21.5099
990.3382,1147.5894,1168.7602,21.1707
995.1691,1148.4158,1169.2527,20.8369
1000.0000,1149.2291,1169.7375,20.5084
