Czas (s),Temperatura w osi (C),Temperatura na powierzchni (C),Roznica dT (C)
0.0000,100.0000,100.0000,0.0000
0.4367,100.0000,135.9234,35.9234
0.8734,100.0000,154.2320,54.2320
1.3100,100.0000,167.6291,67.6291
1.7467,100.0000,178.6440,78.6440
2.1834,100.0000,188.1862,88.1862
2.6201,100.0000,196.7026,96.7026
3.0568,100.0000,204.4519,104.4519
3.4934,100.0000,211.5998,111.5998
3.9301,100.0000,218.2599,118.2599
4.3668,100.0000,224.5142,124.5142
4.8035,100.0000,230.4240,130.4240
5.2402,100.0000,236.0366,136.0366
5.6769,100.0000,241.3896,141.3896
6.1135,100.0000,246.5131,146.5131
6.5502,100.0000,251.4319,151.4319
6.9869,100.0000,256.1668,156.1667
7.4236,100.0001,260.7350,160.7349
7.8603,100.0001,265.1515,165.1514
8.2969,100.0002,269.4290,169.4289
8.7336,100.0003,273.5787,173.5784
9.1703,100.0005,277.6102,177.6097
9.6070,100.0007,281.5321,181.5314
10.0437,100.0011,285.3519,185.3508
10.4803,100.0016,289.0764,189.0748
10.9170,100.0023,292.7116,192.7093
11.3537,100.0032,296.2630,196.2598
11.7904,100.0045,299.7354,199.7310
12.2271,100.0061,303.1334,203.1273
12.6638,100.0083,306.4609,206.4526
13.1004,100.0110,309.7217,209.7107
13.5371,100.0143,312.9191,212.9048
13.9738,100.0185,316.0563,216.0377
14.4105,100.0237,319.1361,219.1124
14.8472,100.0300,322.1613,222.1313
15.2838,100.0376,325.1342,225.0966
15.7205,100.0466,328.0571,228.0105
16.1572,100.0573,330.9322,230.8749
16.5939,100.0698,333.7614,233.6916
17.0306,100.0844,336.5466,236.4622
17.4672,100.1014,339.2895,239.1882
17.9039,100.1209,341.9918,241.8710
18.3406,100.1431,344.6549,244.5118
18.7773,100.1684,347.2803,247.1119
19.2140,100.1970,349.8693,249.6723
19.6507,100.2292,352.4232,252.1940
20.0873,100.2652,354.9433,254.6780
20.5240,100.3054,357.4305,257.1251
20.9607,100.3499,359.8861,259.5362
21.3974,100.3991,362.3109,261.9118
21.8341,100.4532,364.7061,264.2529
22.2707,100.5125,367.0724,266.5599
22.7074,100.5773,369.4108,268.8335
23.1441,100.6479,371.7221,271.0742
23.5808,100.7245,374.0071,273.2826
24.0175,100.8074,376.2665,275.4591
24.4541,100.8969,378.5011,277.6042
24.8908,100.9932,380.7115,279.7184
25.3275,101.0965,382.8985,281.8019
25.7642,101.2072,385.0625,283.8553
26.2009,101.3253,387.2043,285.8789
26.6376,101.4513,389.3243,287.8730
27.0742,101.5852,391.4232,289.8380
27.5109,101.7274,393.5015,291.7741
27.9476,101.8779,395.5597,293.6818
28.3843,102.0371,397.5982,295.5611
28.8210,102.2050,399.6176,297.4126
29.2576,102.3820,401.6183,299.2364
29.6943,102.5680,403.6007,301.0327
30.1310,102.7634,405.5653,302.8019
30.5677,102.9682,407.5124,304.5442
31.0044,103.1826,409.4424,306.2598
31.4410,103.4068,411.3558,307.9490
31.8777,103.6408,413.2528,309.6120
