Czas (s),Temperatura w osi (C),Temperatura na powierzchni (C),Roznica dT (C)
0.0000,100.0000,100.0000,0.0000
0.0273,100.0000,109.1036,9.1036
0.0546,100.0000,113.8135,13.8135
0.0819,100.0000,117.2941,17.2941
0.1092,100.0000,120.1779,20.1779
0.1365,100.0000,122.6923,22.6923
0.1638,100.0000,124.9492,24.9492
0.1911,100.0000,127.0134,27.0134
0.2184,100.0000,128.9264,28.9264
0.2457,100.0000,130.7167,30.7167
0.2730,100.0000,132.4047,32.4047
0.3003,100.0000,134.0060,34.0060
0.3276,100.0000,135.5322,35.5322
0.3549,100.0000,136.9929,36.9929
0.3822,100.0000,138.3957,38.3957
0.4095,100.0000,139.7466,39.7466
0.4368,100.0000,141.0511,41.0511
0.4641,100.0000,142.3133,42.3133
0.4914,100.0000,143.5371,43.5371
0.5187,100.0000,144.7256,44.7256
0.5460,100.0000,145.8816,45.8816
0.5733,100.0000,147.0077,47.0077
0.6006,100.0000,148.1059,48.1059
0.6279,100.0000,149.1781,49.1781
0.6552,100.0000,150.2260,50.2260
0.6825,100.0000,151.2512,51.2512
0.7098,100.0000,152.2550,52.2550
0.7371,100.0000,153.2386,53.2386
0.7644,100.0000,154.2032,54.2032
0.7917,100.0000,155.1498,55.1498
0.8190,100.0000,156.0794,56.0794
0.8463,100.0000,156.9927,56.9927
0.8736,100.0000,157.8906,57.8906
0.9009,100.0000,158.7738,58.7738
0.9282,100.0000,159.6429,59.6429
0.9555,100.0000,160.4987,60.4987
0.9828,100.0000,161.3416,61.3416
1.0101,100.0000,162.1721,62.1721
1.0374,100.0000,162.9909,62.9909
1.0647,100.0000,163.7984,63.7984
1.0920,100.0000,164.5949,64.5949
1.1193,100.0000,165.3810,65.3810
1.1466,100.0000,166.1569,66.1569
1.1739,100.0000,166.9231,66.9231
1.2012,100.0000,167.6799,67.6799
1.2285,100.0000,168.4277,68.4277
1.2558,100.0000,169.1666,69.1666
1.2831,100.0000,169.8971,69.8971
1.3104,100.0000,170.6193,70.6193
1.3377,100.0000,171.3335,71.3335
1.3650,100.0000,172.0401,72.0401
1.3923,100.0000,172.7392,72.7392
1.4196,100.0000,173.4309,73.4309
1.4469,100.0000,174.1157,74.1157
1.4742,100.0000,174.7936,74.7936
1.5015,100.0000,175.4648,75.4648
1.5288,100.0000,176.1295,76.1295
1.5561,100.0000,176.7879,76.7879
1.5834,100.0000,177.4402,77.4402
1.6107,100.0000,178.0865,78.0865
1.6380,100.0000,178.7270,78.7270
1.6653,100.0000,179.3618,79.3618
1.6926,100.0000,179.9910,79.9910
1.7199,100.0000,180.6148,80.6148
1.7472,100.0000,181.2334,81.2334
1.7745,100.0000,181.8468,81.8468
1.8018,100.0000,182.4551,82.4551
1.8291,100.0000,183.0586,83.0586
1.8564,100.0000,183.6572,83.6572
1.8837,100.0000,184.2511,84.2511
1.9109,100.0000,184.8404,84.8404
1.9382,100.0000,185.4252,85.4252
1.9655,100.0000,186.0056,86.0056
1.9928,100.0000,186.5817,86.5817
2.0201,100.0000,187.1536,87.1536
2.0474,100.0000,187.7213,87.7213
2.0747,100.0000,188.2849,88.2849
2.1020,100.0000,188.8446,88.8446
2.1293,100.0000,189.4004,89.4004
2.1566,100.0000,189.9524,89.9524
2.1839,100.0000,190.5006,90.5006
2.2112,100.0000,191.0451,91.0451
2.2385,100.0000,191.5860,91.5860
2.2658,100.0000,192.1234,92.1234
2.2931,100.0000,192.6572,92.6572
2.3204,100.0000,193.1877,93.1877
2.3477,100.0000,193.7148,93.7148
2.3750,100.0000,194.2386,94.2386
2.4023,100.0000,194.7591,94.7591
2.4296,100.0000,195.2765,95.2765
2.4569,100.0000,195.7907,95.7907
2.4842,100.0000,196.3019,96.3019
2.5115,100.0000,196.8100,96.8100
2.5388,100.0000,197.3151,97.3151
2.5661,100.0000,197.8173,97.8173
2.5934,100.0000,198.3167,98.3167
2.6207,100.0000,198.8131,98.8131
2.6480,100.0000,199.3068,99.3068
2.6753,100.0000,199.7977,99.7977
2.7026,100.0000,200.2860,100.2860
2.7299,100.0000,200.7715,100.7715
2.7572,100.0000,201.2544,101.2544
2.7845,100.0000,201.7348,101.7348
2.8118,100.0000,202.2125,102.2125
2.8391,100.0000,202.6878,102.6878
2.8664,100.0000,203.1606,103.1606
2.8937,100.0000,203.6309,103.6309
2.9210,100.0000,204.0989,104.0989
2.9483,100.0000,204.5644,104.5644
2.9756,100.0000,205.0277,105.0277
3.0029,100.0000,205.4886,105.4886
3.0302,100.0000,205.9472,105.9472
3.0575,100.0000,206.4036,106.4036
3.0848,100.0000,206.8578,106.8578
3.1121,100.0000,207.3098,107.3098
3.1394,100.0000,207.7596,107.7596
3.1667,100.0000,208.2073,108.2073
3.1940,100.0000,208.6529,108.6529
3.2213,100.0000,209.0965,109.0965
3.2486,100.0000,209.5380,109.5380
3.2759,100.0000,209.9774,109.9774
3.3032,100.0000,210.4149,110.4149
3.3305,100.0000,210.8504,110.8504
3.3578,100.0000,211.2839,111.2839
3.3851,100.0000,211.7156,111.7156
3.4124,100.0000,212.1453,112.1453
3.4397,100.0000,212.5731,112.5731
3.4670,100.0000,212.9991,112.9991
3.4943,100.0000,213.4233,113.4233
3.5216,100.0000,213.8456,113.8456
3.5489,100.0000,214.2662,114.2662
3.5762,100.0000,214.6850,114.6850
3.6035,100.0000,215.1020,115.1020
3.6308,100.0000,215.5174,115.5174
3.6581,100.0000,215.9310,115.9310
3.6854,100.0000,216.3429,116.3429
3.7127,100.0000,216.7531,116.7531
3.7400,100.0000,217.1617,117.1617
3.7673,100.0000,217.5687,117.5687
3.7946,100.0000,217.9740,117.9740
3.8219,100.0000,218.3778,118.3778
3.8492,100.0000,218.7799,118.7799
3.8765,100.0000,219.1805,119.1805
3.9038,100.0000,219.5796,119.5796
3.9311,100.0000,219.9771,119.9771
3.9584,100.0000,220.3731,120.3731
3.9857,100.0000,220.7676,120.7676
4.0130,100.0000,221.1606,121.1606
4.0403,100.0000,221.5522,121.5522
4.0676,100.0000,221.9423,121.9423
4.0949,100.0000,222.3309,122.3309
4.1222,100.0000,222.7182,122.7182
4.1495,100.0000,223.1040,123.1040
4.1768,100.0000,223.4884,123.4884
4.2041,100.0000,223.8715,123.8715
4.2314,100.0000,224.2531,124.2531
4.2587,100.0000,224.6334,124.6334
4.2860,100.0000,225.0124,125.0124
4.3133,100.0000,225.3901,125.3901
4.3406,100.0000,225.7664,125.7664
4.3679,100.0000,226.1414,126.1414
4.3952,100.0000,226.5151,126.5151
4.4225,100.0000,226.8876,126.8876
4.4498,100.0000,227.2587,127.2587
4.4771,100.0000,227.6287,127.6287
4.5044,100.0000,227.9973,127.9973
4.5317,100.0000,228.3648,128.3648
4.5590,100.0000,228.7310,128.7310
4.5863,100.0000,229.0960,129.0960
4.6136,100.0000,229.4598,129.4598
4.6409,100.0000,229.8224,129.8224
4.6682,100.0000,230.1839,130.1839
4.6955,100.0000,230.5441,130.5441
4.7228,100.0000,230.9032,130.9032
4.7501,100.0000,231.2612,131.2612
4.7774,100.0000,231.6180,131.6180
4.8047,100.0000,231.9737,131.9737
4.8320,100.0000,232.3283,132.3283
