Czas (s),Temperatura w osi (C),Temperatura na powierzchni (C),Roznica dT (C)
0.0000,100.0000,100.0000,0.0000
0.1092,100.0000,118.1250,18.1250
0.2184,100.0000,127.4549,27.4549
0.3276,100.0000,134.3268,34.3268
0.4368,100.0000,140.0055,40.0055
0.5460,100.0000,144.9459,44.9459
0.6552,100.0000,149.3718,49.3718
0.7644,100.0000,153.4126,53.4126
0.8736,100.0000,157.1513,57.1513
0.9827,100.0000,160.6449,60.6449
1.0919,100.0000,163.9344,63.9344
1.2011,100.0000,167.0506,67.0506
1.3103,100.0000,170.0171,70.0171
1.4195,100.0000,172.8527,72.8527
1.5287,100.0000,175.5727,75.5727
1.6379,100.0000,178.1893,78.1893
1.7471,100.0000,180.7131,80.7131
1.8563,100.0000,183.1528,83.1528
1.9655,100.0000,185.5157,85.5157
2.0747,100.0000,187.8084,87.8084
2.1839,100.0000,190.0364,90.0364
2.2931,100.0000,192.2045,92.2045
2.4023,100.0000,194.3170,94.3170
2.5115,100.0000,196.3779,96.3779
2.6207,100.0000,198.3903,98.3903
2.7299,100.0000,200.3575,100.3575
2.8390,100.0000,202.2820,102.2820
2.9482,100.0000,204.1665,104.1665
3.0574,100.0000,206.0130,106.0130
3.1666,100.0000,207.8237,107.8237
3.2758,100.0000,209.6005,109.6005
3.3850,100.0000,211.3449,111.3449
3.4942,100.0000,213.0587,113.0587
3.6034,100.0000,214.7432,114.7432
3.7126,100.0000,216.3997,116.3997
3.8218,100.0000,218.0296,118.0296
3.9310,100.0000,219.6340,119.6340
4.0402,100.0000,221.2139,121.2139
4.1494,100.0000,222.7703,122.7703
4.2586,100.0000,224.3042,124.3042
4.3678,100.0000,225.8165,125.8165
4.4770,100.0000,227.3079,127.3079
4.5862,100.0000,228.7792,128.7792
4.6953,100.0000,230.2312,130.2312
4.8045,100.0000,231.6645,131.6645
4.9137,100.0000,233.0797,133.0797
5.0229,100.0000,234.4775,134.4775
5.1321,100.0000,235.8585,135.8585
5.2413,100.0000,237.2232,137.2232
5.3505,100.0000,238.5720,138.5720
5.4597,100.0000,239.9056,139.9056
5.5689,100.0000,241.2243,141.2243
5.6781,100.0000,242.5285,142.5285
5.7873,100.0000,243.8188,143.8188
5.8965,100.0000,245.0955,145.0955
6.0057,100.0000,246.3590,146.3590
6.1149,100.0000,247.6096,147.6096
6.2241,100.0000,248.8477,148.8477
6.3333,100.0000,250.0737,150.0737
6.4425,100.0000,251.2878,151.2878
6.5516,100.0000,252.4903,152.4903
6.6608,100.0000,253.6816,153.6816
6.7700,100.0000,254.8620,154.8620
6.8792,100.0000,256.0316,156.0316
6.9884,100.0000,257.1907,157.1907
7.0976,100.0000,258.3396,158.3396
7.2068,100.0000,259.4786,159.4786
7.3160,100.0000,260.6078,160.6078
7.4252,100.0000,261.7276,161.7276
7.5344,100.0000,262.8380,162.8380
7.6436,100.0000,263.9393,163.9393
7.7528,100.0000,265.0317,165.0317
7.8620,100.0000,266.1153,166.1153
7.9712,100.0000,267.1905,167.1905
8.0804,100.0000,268.2573,168.2573
8.1896,100.0000,269.3159,169.3159
8.2988,100.0000,270.3665,170.3664
8.4079,100.0000,271.4092,171.4092
8.5171,100.0000,272.4442,172.4442
8.6263,100.0000,273.4717,173.4716
8.7355,100.0000,274.4917,174.4917
8.8447,100.0000,275.5045,175.5045
8.9539,100.0001,276.5102,176.5101
9.0631,100.0001,277.5088,177.5087
9.1723,100.0001,278.5006,178.5005
9.2815,100.0001,279.4856,179.4855
9.3907,100.0001,280.4640,180.4639
9.4999,100.0001,281.4359,181.4358
9.6091,100.0001,282.4014,182.4013
9.7183,100.0002,283.3606,183.3604
9.8275,100.0002,284.3136,184.3134
9.9367,100.0002,285.2606,185.2604
10.0459,100.0002,286.2015,186.2013
10.1551,100.0003,287.1366,187.1364
10.2642,100.0003,288.0659,188.0656
10.3734,100.0004,288.9896,188.9892
10.4826,100.0004,289.9076,189.9072
10.5918,100.0005,290.8201,190.8197
10.7010,100.0005,291.7272,191.7267
10.8102,100.0006,292.6290,192.6284
10.9194,100.0007,293.5255,193.5249
11.0286,100.0007,294.4169,194.4161
11.1378,100.0008,295.3031,195.3023
11.2470,100.0009,296.1843,196.1834
11.3562,100.0010,297.0606,197.0596
11.4654,100.0012,297.9320,197.9309
11.5746,100.0013,298.7986,198.7973
11.6838,100.0014,299.6605,199.6591
11.7930,100.0016,300.5177,200.5161
11.9022,100.0017,301.3703,201.3685
12.0114,100.0019,302.2183,202.2164
12.1206,100.0021,303.0619,203.0598
12.2297,100.0023,303.9011,203.8987
12.3389,100.0026,304.7359,204.7333
12.4481,100.0028,305.5664,205.5636
12.5573,100.0031,306.3927,206.3896
12.6665,100.0034,307.2148,207.2114
12.7757,100.0037,308.0328,208.0291
12.8849,100.0041,308.8467,208.8426
12.9941,100.0045,309.6566,209.6521
13.1033,100.0049,310.4625,210.4576
13.2125,100.0053,311.2645,211.2592
13.3217,100.0057,312.0626,212.0569
13.4309,100.0062,312.8569,212.8507
13.5401,100.0068,313.6475,213.6407
13.6493,100.0073,314.4343,214.4270
13.7585,100.0079,315.2174,215.2095
13.8677,100.0086,315.9969,215.9884
13.9769,100.0093,316.7728,216.7636
14.0860,100.0100,317.5452,217.5352
14.1952,100.0108,318.3140,218.3033
14.3044,100.0116,319.0794,219.0678
14.4136,100.0125,319.8414,219.8289
14.5228,100.0134,320.6000,220.5866
14.6320,100.0144,321.3552,221.3408
14.7412,100.0154,322.1071,222.0917
14.8504,100.0165,322.8557,222.8392
14.9596,100.0177,323.6011,223.5834
15.0688,100.0189,324.3433,224.3244
15.1780,100.0202,325.0824,225.0621
15.2872,100.0216,325.8183,225.7967
15.3964,100.0231,326.5511,226.5281
15.5056,100.0246,327.2809,227.2563
15.6148,100.0262,328.0076,227.9814
15.7240,100.0279,328.7313,228.7035
15.8332,100.0296,329.4521,229.4225
15.9423,100.0315,330.1699,230.1384
16.0515,100.0335,330.8849,230.8514
16.1607,100.0355,331.5969,231.5614
16.2699,100.0376,332.3062,232.2685
16.3791,100.0399,333.0126,232.9727
16.4883,100.0423,333.7162,233.6740
16.5975,100.0447,334.4171,234.3724
16.7067,100.0473,335.1152,235.0679
16.8159,100.0500,335.8107,235.7607
16.9251,100.0528,336.5034,236.4506
17.0343,100.0557,337.1935,237.1378
17.1435,100.0588,337.8810,237.8223
17.2527,100.0620,338.5659,238.5040
17.3619,100.0653,339.2483,239.1830
17.4711,100.0688,339.9280,239.8593
17.5803,100.0724,340.6053,240.5330
17.6895,100.0761,341.2801,241.2040
17.7986,100.0800,341.9524,241.8724
17.9078,100.0840,342.6222,242.5382
18.0170,100.0883,343.2896,243.2014
18.1262,100.0926,343.9546,243.8620
18.2354,100.0972,344.6172,244.5201
18.3446,100.1019,345.2775,245.1756
18.4538,100.1067,345.9354,245.8287
18.5630,100.1118,346.5910,246.4792
18.6722,100.1170,347.2443,247.1273
18.7814,100.1225,347.8954,247.7729
18.8906,100.1281,348.5441,248.4160
18.9998,100.1339,349.1907,249.0568
19.1090,100.1399,349.8350,249.6951
19.2182,100.1461,350.4771,250.3310
19.3274,100.1525,351.1171,250.9645
19.4366,100.1592,351.7548,251.5957
19.5458,100.1660,352.3905,252.2244
19.6549,100.1731,353.0240,252.8509
19.7641,100.1804,353.6554,253.4750
19.8733,100.1879,354.2847,254.0968
19.9825,100.1957,354.9120,254.7163
20.0917,100.2037,355.5372,255.3335
20.2009,100.2120,356.1604,255.9484
20.3101,100.2205,356.7816,256.5611
20.4193,100.2292,357.4007,257.1715
20.5285,100.2382,358.0179,257.7797
20.6377,100.2475,358.6331,258.3856
20.7469,100.2570,359.2464,258.9893
20.8561,100.2668,359.8577,259.5908
20.9653,100.2769,360.4671,260.1902
21.0745,100.2873,361.0746,260.7873
21.1837,100.2979,361.6802,261.3822
21.2929,100.3089,362.2839,261.9750
21.4021,100.3201,362.8858,262.5657
21.5112,100.3316,363.4858,263.1542
21.6204,100.3435,364.0840,263.7405
21.7296,100.3556,364.6804,264.3248
21.8388,100.3681,365.2749,264.9069
21.9480,100.3808,365.8677,265.4869
