Czas (s),Temperatura w osi (C),Temperatura na powierzchni (C),Roznica dT (C)
0.0000,100.0000,100.0000,0.0000
0.0175,100.0000,107.2896,7.2896
0.0349,100.0000,111.0647,11.0647
0.0524,100.0000,113.8565,13.8565
0.0699,100.0000,116.1708,16.1708
0.0874,100.0000,118.1895,18.1895
0.1048,100.0000,120.0022,20.0022
0.1223,100.0000,121.6608,21.6608
0.1398,100.0000,123.1983,23.1983
0.1572,100.0000,124.6377,24.6377
0.1747,100.0000,125.9952,25.9952
0.1922,100.0000,127.2833,27.2833
0.2097,100.0000,128.5114,28.5114
0.2271,100.0000,129.6870,29.6870
0.2446,100.0000,130.8163,30.8163
0.2621,100.0000,131.9041,31.9041
0.2795,100.0000,132.9547,32.9547
0.2970,100.0000,133.9715,33.9715
0.3145,100.0000,134.9575,34.9575
0.3320,100.0000,135.9154,35.9154
0.3494,100.0000,136.8472,36.8472
0.3669,100.0000,137.7550,37.7550
0.3844,100.0000,138.6405,38.6405
0.4019,100.0000,139.5053,39.5053
0.4193,100.0000,140.3506,40.3506
0.4368,100.0000,141.1777,41.1777
0.4543,100.0000,141.9876,41.9876
0.4717,100.0000,142.7815,42.7815
0.4892,100.0000,143.5601,43.5601
0.5067,100.0000,144.3243,44.3243
0.5242,100.0000,145.0748,45.0748
0.5416,100.0000,145.8124,45.8124
0.5591,100.0000,146.5376,46.5376
0.5766,100.0000,147.2510,47.2510
0.5940,100.0000,147.9532,47.9532
0.6115,100.0000,148.6447,48.6447
0.6290,100.0000,149.3259,49.3259
0.6465,100.0000,149.9972,49.9972
0.6639,100.0000,150.6590,50.6590
0.6814,100.0000,151.3118,51.3118
0.6989,100.0000,151.9559,51.9559
0.7163,100.0000,152.5916,52.5916
0.7338,100.0000,153.2192,53.2192
0.7513,100.0000,153.8389,53.8389
0.7688,100.0000,154.4512,54.4512
0.7862,100.0000,155.0561,55.0561
0.8037,100.0000,155.6541,55.6541
0.8212,100.0000,156.2452,56.2452
0.8386,100.0000,156.8298,56.8298
0.8561,100.0000,157.4080,57.4080
0.8736,100.0000,157.9800,57.9800
0.8911,100.0000,158.5460,58.5460
0.9085,100.0000,159.1062,59.1062
0.9260,100.0000,159.6607,59.6607
0.9435,100.0000,160.2097,60.2097
0.9610,100.0000,160.7534,60.7534
0.9784,100.0000,161.2920,61.2920
0.9959,100.0000,161.8254,61.8254
1.0134,100.0000,162.3540,62.3540
1.0308,100.0000,162.8777,62.8777
1.0483,100.0000,163.3968,63.3968
1.0658,100.0000,163.9113,63.9113
1.0833,100.0000,164.4214,64.4214
1.1007,100.0000,164.9271,64.9271
1.1182,100.0000,165.4287,65.4287
1.1357,100.0000,165.9261,65.9261
1.1531,100.0000,166.4194,66.4194
1.1706,100.0000,166.9088,66.9088
1.1881,100.0000,167.3944,67.3944
1.2056,100.0000,167.8762,67.8762
1.2230,100.0000,168.3543,68.3543
1.2405,100.0000,168.8288,68.8288
1.2580,100.0000,169.2997,69.2997
1.2754,100.0000,169.7672,69.7672
1.2929,100.0000,170.2314,70.2314
1.3104,100.0000,170.6922,70.6922
1.3279,100.0000,171.1497,71.1497
1.3453,100.0000,171.6041,71.6041
1.3628,100.0000,172.0553,72.0553
1.3803,100.0000,172.5035,72.5035
1.3977,100.0000,172.9486,72.9486
1.4152,100.0000,173.3908,73.3908
1.4327,100.0000,173.8302,73.8302
1.4502,100.0000,174.2666,74.2666
1.4676,100.0000,174.7003,74.7003
1.4851,100.0000,175.1313,75.1313
1.5026,100.0000,175.5595,75.5595
1.5200,100.0000,175.9851,75.9851
1.5375,100.0000,176.4081,76.4081
1.5550,100.0000,176.8286,76.8286
1.5725,100.0000,177.2465,77.2465
1.5899,100.0000,177.6620,77.6620
1.6074,100.0000,178.0750,78.0750
1.6249,100.0000,178.4857,78.4857
1.6424,100.0000,178.8940,78.8940
1.6598,100.0000,179.3000,79.3000
1.6773,100.0000,179.7037,79.7037
1.6948,100.0000,180.1051,80.1051
1.7122,100.0000,180.5044,80.5044
1.7297,100.0000,180.9015,80.9015
1.7472,100.0000,181.2964,81.2964
1.7647,100.0000,181.6893,81.6893
1.7821,100.0000,182.0800,82.0800
1.7996,100.0000,182.4688,82.4688
1.8171,100.0000,182.8555,82.8555
1.8345,100.0000,183.2402,83.2402
1.8520,100.0000,183.6230,83.6230
1.8695,100.0000,184.0038,84.0038
1.8870,100.0000,184.3827,84.3827
1.9044,100.0000,184.7598,84.7598
1.9219,100.0000,185.1350,85.1350
1.9394,100.0000,185.5083,85.5083
1.9568,100.0000,185.8799,85.8799
1.9743,100.0000,186.2497,86.2497
1.9918,100.0000,186.6178,86.6178
2.0093,100.0000,186.9841,86.9841
2.0267,100.0000,187.3487,87.3487
2.0442,100.0000,187.7116,87.7116
2.0617,100.0000,188.0729,88.0729
2.0791,100.0000,188.4325,88.4325
2.0966,100.0000,188.7905,88.7905
2.1141,100.0000,189.1469,89.1469
2.1316,100.0000,189.5017,89.5017
2.1490,100.0000,189.8550,89.8550
2.1665,100.0000,190.2067,90.2067
2.1840,100.0000,190.5569,90.5569
2.2015,100.0000,190.9056,90.9056
2.2189,100.0000,191.2528,91.2528
2.2364,100.0000,191.5985,91.5985
2.2539,100.0000,191.9428,91.9428
